"ID","NAME","ISACTIVE","CREATEDBY","CREATEDDATE","MODIFIEDBY","MODIFIEDDATE","ISDELETED","DELETEDBY","DELETEDDATE"
1,"Sub-Staff",0,"Tejasvi",24-JAN-25,"",,1,"EMP001",24-JAN-25
2,"Commissioner",1,"pawan10035",28-JAN-25,"",,0,"",
3,"Additional Commissioner",1,"pawan10035",28-JAN-25,"",,0,"",
4,"Joint Commissioner",1,"pawan10035",28-JAN-25,"",,0,"",
5,"Superintending Engineer",1,"pawan10035",28-JAN-25,"",,0,"",
6,"Deputy Commissioner",1,"pawan10035",28-JAN-25,"",,0,"",
7,"Assistant Commissioner(Admin)",1,"pawan10035",28-JAN-25,"",,0,"",
8,"Assistant Commissioner(Finance)",1,"pawan10035",28-JAN-25,"",,0,"",
9,"Executive Engineer",1,"pawan10035",28-JAN-25,"",,0,"",
10,"Administrative Officer",1,"pawan10035",28-JAN-25,"",,0,"",
11,"Computer Programmer",1,"pawan10035",28-JAN-25,"",,0,"",
12,"Finance Officer",1,"pawan10035",28-JAN-25,"",,0,"",
13,"Section Officer",1,"pawan10035",28-JAN-25,"",,0,"",
14,"Assistant Director",1,"pawan10035",28-JAN-25,"",,0,"",
15,"Assistant Editor",1,"pawan10035",28-JAN-25,"",,0,"",
16,"Technical Officer",1,"pawan10035",28-JAN-25,"",,0,"",
17,"Private Secretary",1,"pawan10035",28-JAN-25,"",,0,"",
18,"Steno Grade-1",1,"pawan10035",28-JAN-25,"",,0,"",
19,"Statistical Officer",1,"pawan10035",28-JAN-25,"",,0,"",
20,"Assistant",1,"pawan10035",28-JAN-25,"",,0,"",
21,"Sr. Hindi Translator",1,"pawan10035",28-JAN-25,"",,0,"",
22,"Hindi Translator",1,"pawan10035",28-JAN-25,"",,0,"",
23,"UDC",1,"pawan10035",28-JAN-25,"",,0,"",
24,"Steno Grade-11",1,"pawan10035",28-JAN-25,"",,0,"",
25,"Proof Reader",1,"pawan10035",28-JAN-25,"",,0,"",
26,"Hostel Nurse",1,"pawan10035",28-JAN-25,"",,0,"",
27,"LDC",1,"pawan10035",28-JAN-25,"",,0,"",
28,"Staff Car Driver",1,"pawan10035",28-JAN-25,"",,0,"",
29,"Electrician",1,"pawan10035",28-JAN-25,"",,0,"",
30,"Sub Staff",1,"pawan10035",28-JAN-25,"",,0,"",
31,"Lab-Assistant",1,"pawan10035",28-JAN-25,"",,0,"",
32,"Education Officer",1,"pawan10035",28-JAN-25,"",,0,"",
33,"Principal",1,"pawan10035",28-JAN-25,"",,0,"",
34,"Vice Principal",1,"pawan10035",28-JAN-25,"",,0,"",
35,"PGT (ENGL)",1,"pawan10035",28-JAN-25,"",,0,"",
36,"PGT (Hindi)",1,"pawan10035",28-JAN-25,"",,0,"",
37,"PGT (PHYS)",1,"pawan10035",28-JAN-25,"",,0,"",
38,"PGT (CHEM)",1,"pawan10035",28-JAN-25,"",,0,"",
39,"PGT (BIOL)",1,"pawan10035",28-JAN-25,"",,0,"",
40,"PGT (MATH)",1,"pawan10035",28-JAN-25,"",,0,"",
41,"PGT (ECON)",1,"pawan10035",28-JAN-25,"",,0,"",
42,"PGT (GEOG)",1,"pawan10035",28-JAN-25,"",,0,"",
43,"PGT (HIST)",1,"pawan10035",28-JAN-25,"",,0,"",
44,"PGT (COMM)",1,"pawan10035",28-JAN-25,"",,0,"",
45,"PGT (COMP)",1,"pawan10035",28-JAN-25,"",,0,"",
46,"PGT (BTEC)",1,"pawan10035",28-JAN-25,"",,0,"",
47,"TGT (ENGL)",1,"pawan10035",28-JAN-25,"",,0,"",
48,"TGT (Hindi)",1,"pawan10035",28-JAN-25,"",,0,"",
49,"TGT (MATH)",1,"pawan10035",28-JAN-25,"",,0,"",
50,"TGT (BIOL)",1,"pawan10035",28-JAN-25,"",,0,"",
51,"TGT (SOST)",1,"pawan10035",28-JAN-25,"",,0,"",
52,"TGT (SANS)",1,"pawan10035",28-JAN-25,"",,0,"",
53,"TGT (DRGT)",1,"pawan10035",28-JAN-25,"",,0,"",
54,"TGT (WATR)",1,"pawan10035",28-JAN-25,"",,0,"",
55,"TGT (PETR)",1,"pawan10035",28-JAN-25,"",,0,"",
56,"LIbrarian",1,"pawan10035",28-JAN-25,"",,0,"",
57,"Yoga Teacher",1,"pawan10035",28-JAN-25,"",,0,"",
58,"HM",1,"pawan10035",28-JAN-25,"",,0,"",
59,"PRT",1,"pawan10035",28-JAN-25,"",,0,"",
60,"PRT (MUSIC)",1,"pawan10035",28-JAN-25,"",,0,"",
61,"ASO",1,"pawan10035",28-JAN-25,"",,0,"",
62,"SSA",1,"pawan10035",28-JAN-25,"",,0,"",
63,"JSA",1,"pawan10035",28-JAN-25,"",,0,"",
64,"Regular Staff",1,"pawan10035",28-JAN-25,"",,0,"",
65,"Section Officer (SO)",1,"",04-FEB-25,"",,0,"",
66,"STENO GRADE 1",1,"",04-FEB-25,"",,0,"",
67,"Superintendent Engineer",1,"",04-FEB-25,"",,0,"",
68,"Junior Translator",1,"",04-FEB-25,"",,0,"",
69,"PGT",1,"",04-FEB-25,"",,0,"",
70,"Senior Translator",1,"",04-FEB-25,"",,0,"",
71,"TGT",1,"",04-FEB-25,"",,0,"",
72,"STENO GRADE 2",1,"",04-FEB-25,"",,0,"",
73,"Administrative Officer (AO)",1,"",04-FEB-25,"",,0,"",
74,"Assisstant Commissioner",1,"",04-FEB-25,"",,0,"",
