"ID","LEVELNAME","CREATEDDATE","CREATEDBY","MODIFIEDDATE","MODIFIEDBY","ISACTIVE","ISDELETED","DELETEDBY","DELETEDTIME","NUMID"
2,"Level-2",18-JAN-25,"pawan10035",30-JAN-25,"SystemUser",1,0,"",,2
3,"Level-3",18-JAN-25,"pawan10035",,"",1,0,"",,3
4,"Level-4",18-JAN-25,"pawan10035",,"",1,0,"",,4
5,"Level-5",18-JAN-25,"pawan10035",,"",1,0,"",,5
6,"Level-6",18-JAN-25,"pawan10035",,"",1,0,"",,6
7,"Level-7",18-JAN-25,"pawan10035",,"",1,0,"",,7
8,"Level-8",18-JAN-25,"pawan10035",,"",1,0,"",,8
9,"Level-9",18-JAN-25,"pawan10035",,"",1,0,"",,9
10,"Level-10",18-JAN-25,"pawan10035",,"",1,0,"",,10
11,"Level-11",18-JAN-25,"pawan10035",,"",1,0,"",,11
12,"Level-12",18-JAN-25,"pawan10035",,"",1,0,"",,12
13,"Level-13",18-JAN-25,"pawan10035",,"",1,0,"",,13
14,"Level-13-A",18-JAN-25,"pawan10035",,"",1,0,"",,13
15,"Level-14",18-JAN-25,"pawan10035",,"",1,0,"",,14
16,"Level-15",18-JAN-25,"pawan10035",,"",1,0,"",,15
17,"Level-16",18-JAN-25,"pawan10035",,"",1,0,"",,16
18,"Level-17",18-JAN-25,"pawan10035",22-JAN-25,"SystemUser",1,0,"",,17
63,"Level 1",22-JAN-25,"Employee",17-FEB-25,"SystemUser",1,0,"",,0
62,"TEST LEVEL ADDED ",22-JAN-25,"Employee",17-FEB-25,"SystemUser",1,0,"",,0
42,"level",21-JAN-25,"Employee",,"",1,1,"SystemUser",21-JAN-25,0
82,"asf",23-JAN-25,"Employee",23-JAN-25,"SystemUser",1,1,"SystemUser",23-JAN-25,0
83,"level2031",23-JAN-25,"Employee",23-JAN-25,"SystemUser",1,1,"SystemUser",23-JAN-25,0
41,"Level14",21-JAN-25,"Employee",21-JAN-25,"SystemUser",1,1,"SystemUser",21-JAN-25,0
101,"level-1",24-JAN-25,"Employee",,"",1,1,"SystemUser",24-JAN-25,1
81,"Level for Testing",23-JAN-25,"Employee",,"",1,1,"SystemUser",23-JAN-25,0
