"ID","CODE","NAME","MENUID","ISACTIVE","CREATEDBY","CREATEDDATE","MODIFIEDBY","MODIFIEDDATE","ISDELETED"
59,"KVS.PayBill.ApproveReject","ApproveReject",19,1,"System",18-FEB-25,"",,0
1,"KVS.MasterLeave.View","View",13,1,"System",28-JAN-25,"System",28-JAN-25,0
2,"KVS.MasterLeave.Create","Create",13,1,"System",28-JAN-25,"System",28-JAN-25,0
3,"KVS.MasterLeave.Update","Update",13,1,"System",28-JAN-25,"System",28-JAN-25,0
4,"KVS.MasterLeave.Delete","Delete",13,1,"System",28-JAN-25,"System",28-JAN-25,0
5,"KVS.MasterLevelBasicPay.View","View",2,1,"",28-JAN-25,"",,0
6,"KVS.MasterLevelBasicPay.Create","create",2,1,"",28-JAN-25,"",,0
7,"KVS.MasterLevelBasicPay.Update","Update",2,1,"",28-JAN-25,"",,0
8,"KVS.MasterLevelBasicPay.Delete","Delete",2,1,"",28-JAN-25,"",,0
9,"KVS.MasterCity.Create","Create",8,1,"System",28-JAN-25,"System",28-JAN-25,0
10,"KVS.MasterCity.View","View",8,1,"System",28-JAN-25,"System",,0
11,"KVS.MasterCity.Update","Update",8,1,"System",28-JAN-25,"System",,0
12,"KVS.MasterCity.Delete","Delete",8,1,"System",28-JAN-25,"System",,0
13,"KVS.PayBill.ApproveReject","ApproveReject",3,1,"System",13-FEB-25,"System",13-FEB-25,0
14,"KVS.PayBill.Update","Update",19,1,"System",13-FEB-25,"System",13-FEB-25,0
15,"KVS.MasterDesignation.View","View",1,1,"",28-JAN-25,"",,0
16,"KVS.MasterDesignation.Create","Create",1,1,"",28-JAN-25,"",,0
17,"KVS.MasterDesignation.Update","Update",1,1,"",28-JAN-25,"",,0
18,"KVS.MasterDesignation.Delete","Delete",1,1,"",28-JAN-25,"",,0
19,"KVS.MasterEmployee.View","View",16,1,"",28-JAN-25,"",,0
20,"KVS.MasterEmployee.Create","Create",16,1,"",28-JAN-25,"",,0
21,"KVS.MasterEmployee.Update","Update",16,1,"",28-JAN-25,"",,0
22,"KVS.MasterEmployee.Delete","Delete",16,1,"",28-JAN-25,"",,0
23,"KVS.MasterLevel.View","View",14,1,"",28-JAN-25,"",,0
24,"KVS.MasterLevel.Create","Create",14,1,"",28-JAN-25,"",,0
25,"KVS.MasterLevel.Update","Update",14,1,"",28-JAN-25,"",,0
26,"KVS.MasterLevel.Delete","Delete",14,1,"",28-JAN-25,"",,0
27,"KVS.Dashbard.View","View",5,1,"System",28-JAN-25,"System",28-JAN-25,0
28,"KVS.Masters.View","View",6,1,"System",28-JAN-25,"System",28-JAN-25,0
29,"KVS.MasterRole.View","View",15,1,"",27-JAN-25,"",,0
30,"KVS.MasterRole.Create","Create",15,1,"",27-JAN-25,"",,0
31,"KVS.MasterRole.Update","Update",15,1,"",27-JAN-25,"",,0
32,"KVS.MasterRole.ApproveReject","ApproveReject",15,0,"",27-JAN-25,"",,1
33,"KVS.MasterRole.Delete","Delete",15,1,"",27-JAN-25,"",,0
34,"KVS.MasterOffice.View","View",11,1,"",27-JAN-25,"",,0
35,"KVS.MasterOffice.Create","Create",11,1,"",27-JAN-25,"",,0
36,"KVS.MasterOffice.Update","Update",11,1,"",27-JAN-25,"",,0
37,"KVS.MasterOffice.Delete","Delete",11,1,"",27-JAN-25,"",,0
38,"KVS.LeaveEntry.View","View",10,1,"System",28-JAN-25,"System",28-JAN-25,0
39,"KVS.LeaveEntrySummary.View","View",7,1,"System",28-JAN-25,"System",28-JAN-25,0
40,"KVS.LeaveEntry.ApproveReject","ApproveReject",10,1,"System",28-JAN-25,"System",28-JAN-25,0
41,"KVS.LeaveEntry.Create","Create",10,1,"System",28-JAN-25,"System",28-JAN-25,0
42,"KVS.LeaveEntry.Update","Update",10,1,"System",28-JAN-25,"System",28-JAN-25,0
43,"KVS.MasterState.View","View",17,1,"System",28-JAN-25,"System",28-JAN-25,0
44,"KVS.MasterCityCategory.View","View",12,1,"System",28-JAN-25,"System",28-JAN-25,0
45,"KVS.MasterCityCategory.Create","Create",12,1,"System",28-JAN-25,"System",28-JAN-25,0
46,"KVS.MasterCityCategory.Update","Update",12,1,"System",28-JAN-25,"System",28-JAN-25,0
47,"KVS.MasterCityCategory.Delete","Delete",12,1,"System",28-JAN-25,"System",28-JAN-25,0
48,"KVS.Dictionary.View","View",9,1,"System",28-JAN-25,"System",28-JAN-25,0
49,"KVS.LeaveEntrySummary.Update","Update",7,1,"System",28-JAN-25,"System",28-JAN-25,0
50,"KVS.Dictionary.Delete","Delete",9,1,"System",28-JAN-25,"System",28-JAN-25,0
51,"KVS.Dictionary.Create","Create",9,1,"System",28-JAN-25,"System",28-JAN-25,0
52,"KVS.Dictionary.Update","Update",9,1,"System",28-JAN-25,"System",28-JAN-25,0
53,"KVS.MasterPermission.View","View",18,1,"System",28-JAN-25,"System",28-JAN-25,0
54,"KVS.MasterPermission.Create","Create",18,1,"System",28-JAN-25,"System",28-JAN-25,0
55,"KVS.MasterPermission.Update","Update",18,1,"System",28-JAN-25,"System",28-JAN-25,0
56,"KVS.LeaveEntrySummary.Create","Create",7,1,"System",28-JAN-25,"System",28-JAN-25,0
57,"KVS.PayBill.View","View",19,1,"System",28-JAN-25,"System",28-JAN-25,0
58,"KVS.SalarySlip.View","View",4,1,"System",03-FEB-25,"",,0
